path_id	cid	compound_name	reactome_id1	pathway_name1	reactome_id2	pathway_name2	uniprot_id	gene_name
R-HSA-162582_R-HSA-5358351_R-HSA-5610787_R-HSA-5610783_P20618	CID_11556711	carfilzomib	R-HSA-5610783	Degradation of GLI2 by the proteasome	R-HSA-5610787	Hedgehog 'off' state	P20618	PSMB1
R-HSA-162582_R-HSA-157118_R-HSA-9013694_R-HSA-9604323_P20618	CID_11556711	carfilzomib	R-HSA-9604323	Negative regulation of NOTCH4 signaling	R-HSA-9013694	Signaling by NOTCH4	P20618	PSMB1
R-HSA-162582_R-HSA-5683057_R-HSA-5687128_P20618	CID_11556711	carfilzomib	R-HSA-5687128	MAPK6/MAPK4 signaling	R-HSA-5687128	MAPK6/MAPK4 signaling	P20618	PSMB1
R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878166_R-HSA-8939902_P04150	CID_11683	megestrol acetate	R-HSA-8939902	Regulation of RUNX2 expression and activity	R-HSA-212436	Generic Transcription Pathway	P04150	NR3C1
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_123631	gefitinib	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P10635	CID_123631	gefitinib	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211958_P10635	CID_123631	gefitinib	R-HSA-211958	Miscellaneous substrates	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211935_P10635	CID_123631	gefitinib	R-HSA-211935	Fatty acids	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P08684	CID_123631	gefitinib	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P08684	CYP3A4
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P08684	CID_123631	gefitinib	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P08684	CYP3A4
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_Q9UNQ0	CID_123631	gefitinib	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	Q9UNQ0	ABCG2
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_126941	methotrexate	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_Q9UNQ0	CID_126941	methotrexate	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	Q9UNQ0	ABCG2
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P08684	CID_148124	docetaxel	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P08684	CYP3A4
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_P68371	CID_148124	docetaxel	R-HSA-5663220	RHO GTPases Activate Formins	R-HSA-195258	RHO GTPase Effectors	P68371	TUBB4B
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5626467_P68371	CID_148124	docetaxel	R-HSA-5626467	RHO GTPases activate IQGAPs	R-HSA-195258	RHO GTPase Effectors	P68371	TUBB4B
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_Q13885	CID_148124	docetaxel	R-HSA-5663220	RHO GTPases Activate Formins	R-HSA-195258	RHO GTPase Effectors	Q13885	TUBB2A
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5626467_Q13885	CID_148124	docetaxel	R-HSA-5626467	RHO GTPases activate IQGAPs	R-HSA-195258	RHO GTPase Effectors	Q13885	TUBB2A
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_P04350	CID_148124	docetaxel	R-HSA-5663220	RHO GTPases Activate Formins	R-HSA-195258	RHO GTPase Effectors	P04350	TUBB4A
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5626467_P04350	CID_148124	docetaxel	R-HSA-5626467	RHO GTPases activate IQGAPs	R-HSA-195258	RHO GTPase Effectors	P04350	TUBB4A
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_Q13509	CID_148124	docetaxel	R-HSA-5663220	RHO GTPases Activate Formins	R-HSA-195258	RHO GTPase Effectors	Q13509	TUBB3
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5626467_Q13509	CID_148124	docetaxel	R-HSA-5626467	RHO GTPases activate IQGAPs	R-HSA-195258	RHO GTPase Effectors	Q13509	TUBB3
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_150311	ezetimibe	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P08684	CID_150311	ezetimibe	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P08684	CYP3A4
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_Q9UNQ0	CID_150311	ezetimibe	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	Q9UNQ0	ABCG2
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P05177	CID_153994	clevidipine	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P05177	CYP1A2
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P05177	CID_153994	clevidipine	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P05177	CYP1A2
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P10635	CID_153994	clevidipine	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211958_P10635	CID_153994	clevidipine	R-HSA-211958	Miscellaneous substrates	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211935_P10635	CID_153994	clevidipine	R-HSA-211935	Fatty acids	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P08684	CID_153994	clevidipine	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P08684	CYP3A4
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P08684	CID_153994	clevidipine	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P08684	CYP3A4
R-HSA-162582_R-HSA-372790_R-HSA-500792_R-HSA-373076_R-HSA-375280_R-HSA-390666_P28223	CID_16362	pimozide	R-HSA-390666	Serotonin receptors	R-HSA-500792	GPCR ligand binding	P28223	HTR2A
R-HSA-162582_R-HSA-372790_R-HSA-388396_R-HSA-418594_R-HSA-111885_R-HSA-180024_P0DP23	CID_16362	pimozide	R-HSA-180024	DARPP-32 events	R-HSA-388396	GPCR downstream signalling	P0DP23	CALM1
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5627123_P0DP23	CID_16362	pimozide	R-HSA-5627123	RHO GTPases activate PAKs	R-HSA-195258	RHO GTPase Effectors	P0DP23	CALM1
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5626467_P0DP23	CID_16362	pimozide	R-HSA-5626467	RHO GTPases activate IQGAPs	R-HSA-195258	RHO GTPase Effectors	P0DP23	CALM1
R-HSA-162582_R-HSA-372790_R-HSA-500792_R-HSA-373076_R-HSA-375280_R-HSA-390666_P50406	CID_16362	pimozide	R-HSA-390666	Serotonin receptors	R-HSA-500792	GPCR ligand binding	P50406	HTR6
R-HSA-162582_R-HSA-372790_R-HSA-500792_R-HSA-373076_R-HSA-375280_R-HSA-390666_P08908	CID_16362	pimozide	R-HSA-390666	Serotonin receptors	R-HSA-500792	GPCR ligand binding	P08908	HTR1A
R-HSA-162582_R-HSA-372790_R-HSA-388396_R-HSA-416482_P35348	CID_164739	levonordefrin	R-HSA-416482	G alpha (12/13) signalling events	R-HSA-388396	GPCR downstream signalling	P35348	ADRA1A
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211981_R-HSA-211999_P10632	CID_1775	5,5-diphenylhydantoin	R-HSA-211999	CYP2E1 reactions	R-HSA-211945	Phase I - Functionalization of compounds	P10632	CYP2C8
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211976_P15538	CID_1775	5,5-diphenylhydantoin	R-HSA-211976	Endogenous sterols	R-HSA-211945	Phase I - Functionalization of compounds	P15538	CYP11B1
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211981_R-HSA-211999_P20813	CID_1775	5,5-diphenylhydantoin	R-HSA-211999	CYP2E1 reactions	R-HSA-211945	Phase I - Functionalization of compounds	P20813	CYP2B6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211935_P20813	CID_1775	5,5-diphenylhydantoin	R-HSA-211935	Fatty acids	R-HSA-211945	Phase I - Functionalization of compounds	P20813	CYP2B6
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_2082	albendazole	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_P68371	CID_2082	albendazole	R-HSA-5663220	RHO GTPases Activate Formins	R-HSA-195258	RHO GTPase Effectors	P68371	TUBB4B
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5626467_P68371	CID_2082	albendazole	R-HSA-5626467	RHO GTPases activate IQGAPs	R-HSA-195258	RHO GTPase Effectors	P68371	TUBB4B
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_Q71U36	CID_2082	albendazole	R-HSA-5663220	RHO GTPases Activate Formins	R-HSA-195258	RHO GTPase Effectors	Q71U36	TUBA1A
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5626467_Q71U36	CID_2082	albendazole	R-HSA-5626467	RHO GTPases activate IQGAPs	R-HSA-195258	RHO GTPase Effectors	Q71U36	TUBA1A
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_208898	dronedarone hydrochloride	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P10635	CID_208898	dronedarone hydrochloride	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211958_P10635	CID_208898	dronedarone hydrochloride	R-HSA-211958	Miscellaneous substrates	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211935_P10635	CID_208898	dronedarone hydrochloride	R-HSA-211935	Fatty acids	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P08684	CID_208898	dronedarone hydrochloride	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P08684	CYP3A4
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P08684	CID_208898	dronedarone hydrochloride	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P08684	CYP3A4
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211981_R-HSA-211999_P10632	CID_208908	lapatinib	R-HSA-211999	CYP2E1 reactions	R-HSA-211945	Phase I - Functionalization of compounds	P10632	CYP2C8
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P08684	CID_2145	aminoglutethimide	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P08684	CYP3A4
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P08684	CID_2145	aminoglutethimide	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P08684	CYP3A4
R-HSA-1430728_R-HSA-556833_R-HSA-8957322_R-HSA-196071_R-HSA-196108_P05108	CID_2145	aminoglutethimide	R-HSA-196108	Pregnenolone biosynthesis	R-HSA-8957322	Metabolism of steroids	P05108	CYP11A1
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211976_P05108	CID_2145	aminoglutethimide	R-HSA-211976	Endogenous sterols	R-HSA-211945	Phase I - Functionalization of compounds	P05108	CYP11A1
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211976_P11511	CID_2145	aminoglutethimide	R-HSA-211976	Endogenous sterols	R-HSA-211945	Phase I - Functionalization of compounds	P11511	CYP19A1
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_2157	amiodarone hydrochloride	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P05177	CID_2157	amiodarone hydrochloride	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P05177	CYP1A2
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P05177	CID_2157	amiodarone hydrochloride	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P05177	CYP1A2
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P10635	CID_2157	amiodarone hydrochloride	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211958_P10635	CID_2157	amiodarone hydrochloride	R-HSA-211958	Miscellaneous substrates	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211935_P10635	CID_2157	amiodarone hydrochloride	R-HSA-211935	Fatty acids	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P08684	CID_2157	amiodarone hydrochloride	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P08684	CYP3A4
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P08684	CID_2157	amiodarone hydrochloride	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P08684	CYP3A4
R-HSA-162582_R-HSA-372790_R-HSA-500792_R-HSA-373076_R-HSA-375280_R-HSA-390696_P35348	CID_2170	amoxapine	R-HSA-390696	Adrenoceptors	R-HSA-500792	GPCR ligand binding	P35348	ADRA1A
R-HSA-162582_R-HSA-372790_R-HSA-388396_R-HSA-416482_P35348	CID_2170	amoxapine	R-HSA-416482	G alpha (12/13) signalling events	R-HSA-388396	GPCR downstream signalling	P35348	ADRA1A
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_2247	astemizole	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P10635	CID_2247	astemizole	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211958_P10635	CID_2247	astemizole	R-HSA-211958	Miscellaneous substrates	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211935_P10635	CID_2247	astemizole	R-HSA-211935	Fatty acids	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P08684	CID_2247	astemizole	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P08684	CYP3A4
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P08684	CID_2247	astemizole	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P08684	CYP3A4
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_2351	bepridil	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-71387_R-HSA-8982491_R-HSA-70221_P0DP23	CID_2351	bepridil	R-HSA-70221	Glycogen breakdown (glycogenolysis)	R-HSA-8982491	Glycogen metabolism	P0DP23	CALM1
R-HSA-162582_R-HSA-372790_R-HSA-388396_R-HSA-418594_R-HSA-111885_R-HSA-180024_P0DP23	CID_2351	bepridil	R-HSA-180024	DARPP-32 events	R-HSA-388396	GPCR downstream signalling	P0DP23	CALM1
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5627123_P0DP23	CID_2351	bepridil	R-HSA-5627123	RHO GTPases activate PAKs	R-HSA-195258	RHO GTPase Effectors	P0DP23	CALM1
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5626467_P0DP23	CID_2351	bepridil	R-HSA-5626467	RHO GTPases activate IQGAPs	R-HSA-195258	RHO GTPase Effectors	P0DP23	CALM1
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_2477	buspirone	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P10635	CID_2477	buspirone	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211958_P10635	CID_2477	buspirone	R-HSA-211958	Miscellaneous substrates	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211935_P10635	CID_2477	buspirone	R-HSA-211935	Fatty acids	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P08684	CID_2477	buspirone	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P08684	CYP3A4
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P08684	CID_2477	buspirone	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P08684	CYP3A4
R-HSA-162582_R-HSA-372790_R-HSA-500792_R-HSA-373076_R-HSA-375280_R-HSA-390666_P28223	CID_2477	buspirone	R-HSA-390666	Serotonin receptors	R-HSA-500792	GPCR ligand binding	P28223	HTR2A
R-HSA-162582_R-HSA-372790_R-HSA-500792_R-HSA-373076_R-HSA-375280_R-HSA-390666_P08908	CID_2477	buspirone	R-HSA-390666	Serotonin receptors	R-HSA-500792	GPCR ligand binding	P08908	HTR1A
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_2519	caffeine	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P05177	CID_2519	caffeine	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P05177	CYP1A2
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P05177	CID_2519	caffeine	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P05177	CYP1A2
R-HSA-1430728_R-HSA-211859_R-HSA-211945_R-HSA-211897_R-HSA-211935_P10635	CID_2519	caffeine	R-HSA-211935	Fatty acids	R-HSA-211945	Phase I - Functionalization of compounds	P10635	CYP2D6
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P10635	CID_2519	caffeine	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P10635	CYP2D6
